id_avis,id_client,id_livre,note,commentaire,dateavis
1,134,726,5,"Un chef-d'œuvre absolu, à lire absolument.",2024-07-15
2,6,929,3,Une œuvre marquante qui laisse une empreinte durable.,2021-07-29
3,430,442,4,"Excellent livre, je le recommande vivement !",2019-07-06
4,206,676,5,,2018-01-23
5,279,361,5,,2017-04-08
6,130,670,5,Passionnant du début à la fin.,2020-11-04
7,416,745,3,Impossible à lâcher ! Un vrai page-turner.,2016-01-11
8,58,990,4,"Une belle découverte, l'auteur a beaucoup de talent.",2018-12-10
9,51,158,5,,2015-04-30
10,447,399,5,Une œuvre marquante qui laisse une empreinte durable.,2015-12-28
11,243,776,5,"J'ai adoré les personnages, très bien construits.",2023-02-21
12,481,231,5,Impossible à lâcher ! Un vrai page-turner.,2016-01-24
13,43,706,4,Passionnant du début à la fin.,2019-01-20
14,378,840,4,Passionnant du début à la fin.,2021-06-03
15,478,265,3,"Plutôt moyen, rien d'exceptionnel.",2021-06-08
16,387,203,5,"Une belle découverte, l'auteur a beaucoup de talent.",2017-03-03
17,466,706,4,"Décevant, je m'attendais à mieux.",2020-06-25
18,205,473,4,"Plutôt moyen, rien d'exceptionnel.",2019-02-08
19,291,215,4,"Très bien écrit, une lecture agréable.",2017-05-04
20,427,795,3,Très instructif et bien documenté.,2015-10-26
21,300,355,3,Impossible à lâcher ! Un vrai page-turner.,2015-04-07
22,492,561,4,"Décevant, je m'attendais à mieux.",2019-11-06
23,403,504,5,,2021-10-25
24,311,14,4,"Une belle découverte, l'auteur a beaucoup de talent.",2016-04-15
25,187,887,1,,2015-12-02
26,115,625,2,"Excellent livre, je le recommande vivement !",2018-06-14
27,145,188,5,Histoire intéressante mais style un peu lourd.,2020-08-07
28,317,161,5,Très instructif et bien documenté.,2021-10-08
29,7,90,1,"Une belle découverte, l'auteur a beaucoup de talent.",2016-02-03
30,410,957,4,Histoire intéressante mais style un peu lourd.,2024-04-04
31,236,721,4,Une œuvre marquante qui laisse une empreinte durable.,2023-12-24
32,338,618,4,,2020-05-25
33,115,544,4,,2020-02-04
34,314,962,4,"Un chef-d'œuvre absolu, à lire absolument.",2019-05-05
35,232,186,5,"Une belle découverte, l'auteur a beaucoup de talent.",2016-04-29
36,24,821,3,,2017-01-12
37,222,313,3,,2019-01-30
38,261,818,4,"Décevant, je m'attendais à mieux.",2017-12-29
39,467,372,4,Une œuvre marquante qui laisse une empreinte durable.,2024-06-20
40,386,662,4,"Plutôt moyen, rien d'exceptionnel.",2021-12-06
41,101,161,5,"Excellent livre, je le recommande vivement !",2016-04-30
42,60,698,3,"Très bien écrit, une lecture agréable.",2024-05-07
43,495,478,4,"Décevant, je m'attendais à mieux.",2023-03-10
44,429,871,4,Très instructif et bien documenté.,2019-10-03
45,261,349,4,Impossible à lâcher ! Un vrai page-turner.,2024-09-23
46,329,704,4,"Excellent livre, je le recommande vivement !",2023-06-25
47,269,352,4,Passionnant du début à la fin.,2020-08-13
48,194,992,4,Très instructif et bien documenté.,2018-04-16
49,425,218,5,"Une belle découverte, l'auteur a beaucoup de talent.",2018-01-26
50,140,905,4,,2017-04-02
51,77,502,4,"Une belle découverte, l'auteur a beaucoup de talent.",2024-12-04
52,411,784,5,Histoire intéressante mais style un peu lourd.,2023-04-01
53,172,531,4,"Une belle découverte, l'auteur a beaucoup de talent.",2021-12-10
54,133,839,4,"Plutôt moyen, rien d'exceptionnel.",2023-05-08
55,41,358,4,"J'ai adoré les personnages, très bien construits.",2017-09-04
56,141,875,4,Passionnant du début à la fin.,2022-04-07
57,19,735,4,Passionnant du début à la fin.,2017-09-15
58,227,508,3,Impossible à lâcher ! Un vrai page-turner.,2023-02-17
59,140,696,5,"Une belle découverte, l'auteur a beaucoup de talent.",2018-07-13
60,450,233,4,"Excellent livre, je le recommande vivement !",2017-08-28
61,226,825,5,"Excellent livre, je le recommande vivement !",2023-09-01
62,496,494,4,Impossible à lâcher ! Un vrai page-turner.,2017-06-03
63,102,747,4,Très instructif et bien documenté.,2017-02-11
64,96,739,4,Très instructif et bien documenté.,2019-04-05
65,156,1000,5,,2018-02-07
66,416,800,1,"Un chef-d'œuvre absolu, à lire absolument.",2015-08-15
67,496,823,5,,2015-01-06
68,370,902,4,,2022-12-03
69,132,859,1,,2023-12-30
70,378,901,2,"Un chef-d'œuvre absolu, à lire absolument.",2024-09-30
71,273,463,4,"Un chef-d'œuvre absolu, à lire absolument.",2024-12-27
72,150,947,4,"Une belle découverte, l'auteur a beaucoup de talent.",2017-12-27
73,355,808,5,"Une belle découverte, l'auteur a beaucoup de talent.",2023-05-12
74,20,254,3,"Décevant, je m'attendais à mieux.",2020-06-12
75,101,842,5,Histoire intéressante mais style un peu lourd.,2016-04-01
76,172,609,2,,2023-07-02
77,295,291,5,,2024-11-01
78,46,22,3,"Excellent livre, je le recommande vivement !",2020-06-01
79,412,547,2,Passionnant du début à la fin.,2016-04-15
80,201,307,5,"Plutôt moyen, rien d'exceptionnel.",2020-05-02
81,290,650,4,"Un chef-d'œuvre absolu, à lire absolument.",2024-09-05
82,428,23,4,"Un chef-d'œuvre absolu, à lire absolument.",2024-12-22
83,165,458,5,"J'ai adoré les personnages, très bien construits.",2020-04-21
84,271,605,3,Passionnant du début à la fin.,2022-07-01
85,388,787,4,,2015-05-10
86,96,779,4,Impossible à lâcher ! Un vrai page-turner.,2020-04-10
87,172,444,5,,2015-12-15
88,326,867,5,"Très bien écrit, une lecture agréable.",2016-10-17
89,308,187,3,"Très bien écrit, une lecture agréable.",2024-09-03
90,112,584,2,,2020-03-06
91,130,373,4,Histoire intéressante mais style un peu lourd.,2022-07-16
92,53,717,5,"Un chef-d'œuvre absolu, à lire absolument.",2020-08-02
93,211,958,4,,2022-10-11
94,259,798,5,"Très bien écrit, une lecture agréable.",2023-07-04
95,23,644,5,Une œuvre marquante qui laisse une empreinte durable.,2019-01-28
96,61,908,1,"Excellent livre, je le recommande vivement !",2020-07-24
97,19,989,4,Impossible à lâcher ! Un vrai page-turner.,2022-08-20
98,331,309,4,Impossible à lâcher ! Un vrai page-turner.,2017-03-14
99,413,11,3,Passionnant du début à la fin.,2020-03-09
100,110,444,5,Histoire intéressante mais style un peu lourd.,2022-09-27
101,348,8,5,Très instructif et bien documenté.,2016-06-13
102,246,190,4,"Un chef-d'œuvre absolu, à lire absolument.",2016-04-27
103,444,463,4,"Un chef-d'œuvre absolu, à lire absolument.",2023-11-18
104,340,805,4,"Un chef-d'œuvre absolu, à lire absolument.",2023-04-17
105,486,85,4,Passionnant du début à la fin.,2023-05-15
106,320,515,5,Histoire intéressante mais style un peu lourd.,2024-12-19
107,22,565,4,Passionnant du début à la fin.,2023-04-30
108,301,221,1,Une œuvre marquante qui laisse une empreinte durable.,2015-05-18
109,237,642,5,"J'ai adoré les personnages, très bien construits.",2024-04-01
110,176,159,4,"Excellent livre, je le recommande vivement !",2016-05-23
111,381,371,3,Une œuvre marquante qui laisse une empreinte durable.,2015-06-04
112,461,134,4,Très instructif et bien documenté.,2019-07-06
113,196,201,3,"Décevant, je m'attendais à mieux.",2017-10-04
114,184,871,5,"Excellent livre, je le recommande vivement !",2017-09-29
115,16,451,4,Passionnant du début à la fin.,2018-02-01
116,413,814,5,Une œuvre marquante qui laisse une empreinte durable.,2020-03-11
117,107,947,3,,2024-09-18
118,500,644,4,Impossible à lâcher ! Un vrai page-turner.,2018-08-29
119,3,23,3,Une œuvre marquante qui laisse une empreinte durable.,2020-12-17
120,72,717,1,"Une belle découverte, l'auteur a beaucoup de talent.",2020-10-19
121,65,828,5,"Très bien écrit, une lecture agréable.",2023-10-08
122,355,34,4,"Excellent livre, je le recommande vivement !",2018-11-20
123,153,544,3,Impossible à lâcher ! Un vrai page-turner.,2019-01-10
124,228,775,5,"Un chef-d'œuvre absolu, à lire absolument.",2021-07-31
125,416,539,5,,2024-04-26
126,367,338,4,Impossible à lâcher ! Un vrai page-turner.,2024-04-22
127,54,384,5,"Plutôt moyen, rien d'exceptionnel.",2016-08-18
128,441,695,3,"Décevant, je m'attendais à mieux.",2019-11-24
129,478,282,5,"Très bien écrit, une lecture agréable.",2020-08-28
130,176,190,5,"Plutôt moyen, rien d'exceptionnel.",2022-09-09
131,215,793,4,"J'ai adoré les personnages, très bien construits.",2015-11-21
132,173,927,3,,2015-08-08
133,480,526,2,"J'ai adoré les personnages, très bien construits.",2024-07-23
134,426,636,3,"J'ai adoré les personnages, très bien construits.",2020-08-17
135,233,397,2,"Excellent livre, je le recommande vivement !",2024-03-31
136,363,781,3,Très instructif et bien documenté.,2023-04-17
137,59,907,5,"Excellent livre, je le recommande vivement !",2020-09-21
138,293,140,4,"J'ai adoré les personnages, très bien construits.",2018-04-04
139,22,244,5,,2024-07-16
140,212,610,5,Passionnant du début à la fin.,2021-09-29
141,358,820,5,Passionnant du début à la fin.,2020-09-13
142,262,80,5,"J'ai adoré les personnages, très bien construits.",2016-07-03
143,340,157,4,Histoire intéressante mais style un peu lourd.,2020-01-06
144,394,857,4,"Plutôt moyen, rien d'exceptionnel.",2018-01-17
145,191,589,5,"J'ai adoré les personnages, très bien construits.",2016-04-26
146,65,223,4,,2018-03-27
147,378,601,5,Très instructif et bien documenté.,2020-04-08
148,316,40,1,,2018-03-13
149,448,339,5,Histoire intéressante mais style un peu lourd.,2021-02-20
150,427,318,4,"Plutôt moyen, rien d'exceptionnel.",2017-12-22
151,473,737,5,,2019-10-13
152,68,203,4,"Une belle découverte, l'auteur a beaucoup de talent.",2022-05-23
153,433,501,2,Très instructif et bien documenté.,2017-06-24
154,176,924,1,,2020-01-19
155,221,458,3,"Excellent livre, je le recommande vivement !",2019-03-19
156,155,127,5,"Décevant, je m'attendais à mieux.",2020-07-03
157,76,696,4,"Très bien écrit, une lecture agréable.",2018-03-05
158,419,377,5,"Un chef-d'œuvre absolu, à lire absolument.",2018-02-05
159,53,509,5,"Excellent livre, je le recommande vivement !",2015-08-17
160,174,290,5,"Un chef-d'œuvre absolu, à lire absolument.",2023-11-12
161,149,362,4,Passionnant du début à la fin.,2019-11-18
162,411,192,5,Impossible à lâcher ! Un vrai page-turner.,2022-06-10
163,110,209,4,Une œuvre marquante qui laisse une empreinte durable.,2020-06-04
164,359,994,5,Impossible à lâcher ! Un vrai page-turner.,2015-08-10
165,287,841,5,"Excellent livre, je le recommande vivement !",2018-05-20
166,412,762,4,,2019-09-06
167,389,735,2,"Plutôt moyen, rien d'exceptionnel.",2015-12-30
168,190,933,3,Passionnant du début à la fin.,2023-08-04
169,82,96,4,Très instructif et bien documenté.,2017-08-06
170,115,401,4,Très instructif et bien documenté.,2022-08-24
171,495,249,5,"Une belle découverte, l'auteur a beaucoup de talent.",2015-05-28
172,269,590,5,Impossible à lâcher ! Un vrai page-turner.,2021-02-15
173,180,662,4,"Excellent livre, je le recommande vivement !",2019-02-18
174,191,810,5,,2015-11-17
175,48,111,4,"Excellent livre, je le recommande vivement !",2016-10-24
176,208,292,1,"Un chef-d'œuvre absolu, à lire absolument.",2022-09-10
177,348,752,3,Très instructif et bien documenté.,2019-11-11
178,125,512,4,,2015-01-10
179,341,686,5,Une œuvre marquante qui laisse une empreinte durable.,2020-01-08
180,266,174,5,"Très bien écrit, une lecture agréable.",2021-04-11
181,273,630,3,"Plutôt moyen, rien d'exceptionnel.",2020-10-29
182,51,771,5,"Une belle découverte, l'auteur a beaucoup de talent.",2019-07-14
183,128,766,5,"Décevant, je m'attendais à mieux.",2023-04-16
184,5,557,3,"Très bien écrit, une lecture agréable.",2017-01-30
185,151,191,5,Histoire intéressante mais style un peu lourd.,2020-05-23
186,143,153,5,Histoire intéressante mais style un peu lourd.,2024-07-06
187,16,264,4,Une œuvre marquante qui laisse une empreinte durable.,2023-07-31
188,86,780,4,"Une belle découverte, l'auteur a beaucoup de talent.",2017-09-08
189,227,609,5,"Très bien écrit, une lecture agréable.",2022-08-29
190,355,563,4,Histoire intéressante mais style un peu lourd.,2018-01-21
191,313,581,3,"Plutôt moyen, rien d'exceptionnel.",2022-06-11
192,46,314,5,Très instructif et bien documenté.,2017-06-08
193,407,583,4,"Très bien écrit, une lecture agréable.",2024-02-02
194,168,339,5,Une œuvre marquante qui laisse une empreinte durable.,2016-08-13
195,101,630,3,Une œuvre marquante qui laisse une empreinte durable.,2019-04-01
196,406,813,4,,2021-03-25
197,481,579,5,Très instructif et bien documenté.,2019-05-11
198,200,429,4,"Très bien écrit, une lecture agréable.",2016-05-13
199,339,551,3,,2023-10-07
200,405,150,3,Une œuvre marquante qui laisse une empreinte durable.,2024-11-17
201,331,140,3,"Décevant, je m'attendais à mieux.",2017-01-30
202,463,54,3,"Plutôt moyen, rien d'exceptionnel.",2022-12-05
203,286,793,3,Une œuvre marquante qui laisse une empreinte durable.,2022-12-27
204,33,209,4,Histoire intéressante mais style un peu lourd.,2022-12-05
